[2J[HCONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
9f6fd6846bef   redis_test_10   0.04%     1.738MiB / 15.64GiB   0.01%     200B / 0B   4.08MB / 0B   2
9f6fd6846bef   redis_test_10   0.04%     1.738MiB / 15.64GiB   0.01%     200B / 0B   4.08MB / 0B   2
9f6fd6846bef   redis_test_10   142.38%   18.34MiB / 15.64GiB   0.11%     572B / 0B   14.2MB / 0B   6
9f6fd6846bef   redis_test_10   142.38%   18.34MiB / 15.64GiB   0.11%     572B / 0B   14.2MB / 0B   6
9f6fd6846bef   redis_test_10   185.21%   30.62MiB / 15.64GiB   0.19%     842B / 0B   14.2MB / 0B   6
9f6fd6846bef   redis_test_10   185.21%   30.62MiB / 15.64GiB   0.19%     842B / 0B   14.2MB / 0B   6
9f6fd6846bef   redis_test_10   184.55%   42.56MiB / 15.64GiB   0.27%     1.04kB / 0B   14.2MB / 0B   6
9f6fd6846bef   redis_test_10   184.55%   42.56MiB / 15.64GiB   0.27%     1.04kB / 0B   14.2MB / 0B   6
9f6fd6846bef   redis_test_10   184.83%   50.04MiB / 15.64GiB   0.31%     1.04kB / 0B   14.2MB / 0B   6
9f6fd6846bef   redis_test_10   184.83%   50.04MiB / 15.64GiB   0.31%     1.04kB / 0B   14.2MB / 0B   6
9f6fd6846bef   redis_test_10   179.57%   63.94MiB / 15.64GiB   0.40%     1.04kB / 0B   14.2MB / 0B   6
9f6fd6846bef   redis_test_10   179.57%   63.94MiB / 15.64GiB   0.40%     1.04kB / 0B   14.2MB / 0B   6
9f6fd6846bef   redis_test_10   189.37%   69.66MiB / 15.64GiB   0.44%     1.11kB / 0B   14.2MB / 0B   6
9f6fd6846bef   redis_test_10   189.37%   69.66MiB / 15.64GiB   0.44%     1.11kB / 0B   14.2MB / 0B   6
9f6fd6846bef   redis_test_10   173.65%   68.62MiB / 15.64GiB   0.43%     1.11kB / 0B   14.2MB / 0B   6
9f6fd6846bef   redis_test_10   173.65%   68.62MiB / 15.64GiB   0.43%     1.11kB / 0B   14.2MB / 0B   6
9f6fd6846bef   redis_test_10   181.37%   68.75MiB / 15.64GiB   0.43%     1.11kB / 0B   14.2MB / 0B   6
9f6fd6846bef   redis_test_10   181.37%   68.75MiB / 15.64GiB   0.43%     1.11kB / 0B   14.2MB / 0B   6
